major_id,major_cname,major_name,major_cabbr,major_type
JPNL,日本語文學系,Japanese Language and Literature,日文,JPNL
THEA,戲劇學系,Drama and Theatre,戲劇,THEA
ARHY,藝術史研究所,Art History,藝術,ART
LING,語言學研究所,Linguistics,語言,LING
MUSIC,音樂學研究所,Musicology,音樂,MUSIC
TWLIT,臺灣文學研究所,Taiwan Literature,臺文,TWLIT
BSE,生物環境系統工程學系,Bioenvironmental Systems Engineering,生工,BSE
AC,農業化學系,Agricultural Chemistry,農化,AC
FOREST,森林環境暨資源學系,Forestry and Resource Conservation,森林,FOREST
ANISCI,動物科學技術學系,Animal Science and Technology,動科,ANISCI
AGEC,農業經濟學系,Agricultural Economics,農經,AGEC
HORT,園藝學系,Horticultural Science,園藝,HORT
UB,都市規劃,Urban Planning,都規,UB
VM,獸醫學系,Veterinary Medicine,獸醫,VM
BICD,生物產業傳播暨發展學系,Bio-Industry Communication and Development,生傳,BICD
FOOD,食品科技研究所,Food Science and Technology,食科所,FOOD
BIOT,生物科技研究所,Biotechnology,生科所,BIOT
VCS,臨床動物醫學研究所,Veterinary Clinical Sciences,臨床動物,VCS
OMIH,職業醫學與工業衛生研究所,Occupational Medicine and Industrial Hygiene,職衛所,OMIH
EH,環境衛生研究所,Environmental Health,環衛所,EH
ZOOL,動物學研究所,Zoology,動物所,ZOOL
FISHSC,漁業科學研究所,Fisheries Science,漁科所,FISHSC
BCHEM,生化科學研究所,Biochemical Sciences,生化科學所,BCHEM
EMBA,高階管理碩士專班(EMBA),The Executive MBA Program in Business Administration,EMBA管理碩士專班,MBA
EMBAE,管理學院高階公共管理組,The Executive MBA Program in Senior Public Administration,EMBAE,MBA
EMBAA,管理學院會計與管理決策組,The Executive MBA Program in Accounting and Management Decision-making,EMBAA,MBA
EMBAF,管理學院財務金融組,The Executive MBA Program in Finance,EMBAF,MBA
EMBAG,管理學院國際企業管理組,The Executive MBA Program in International Business Management,EMBAG,MBA
EMBAI,管理學院資訊管理組,The Executive MBA Program in Information Management,EMBAI,MBA
EMBAB,管理學院商學組,The Executive MBA Program in Business Administration,EMBAB,MBA
MANAGEMENT,管理,Management,管理,MBA
BUSINESS,商學院,Business,商學院,MBA
ENT,昆蟲學系,Entomology,昆蟲,ENT
