uni_name|uni_id|uni_cname|uni_location|uni_cabbr|ip
Overseas Chinese University|OCU|僑光科技大學|Xitun District, Taichung||
Providence University|PU_|靜宜大學|Shalu District, Taichung|靜宜|
St. John's University|SJU|聖約翰科技大學|Tamsui District, New Taipei|聖約翰|
Shih Chien University|USC_|實踐大學|Zhongshan District, Taipei||
Shih Hsin University|SHU|世新大學|Wenshan District, Taipei|世新|
Shu-Te University|STU_|樹德科技大學|Yanchao District, Kaohsiung|樹德|
Soochow University|SCU|東吳大學|Shilin District, Taipei|東吳|
Taipei Medical University|TMU|臺北醫學大學|Xinyi District, Taipei||
Taiwan Shoufu University|TSU|台灣首府大學|Madou District, Tainan||
Tajen University|TAJEN|大仁科技大學|Yanpu Township, Pingtung County||
Tamkang University|TKU|淡江大學|Tamsui District, New Taipei|淡江|
Tatung University|TTU|大同大學|Zhongshan District, Taipei|大同|
Toko University|TOKO|稻江科技暨管理學院|Puzi City, Chiayi County||
TransWorld University|TWU|環球科技大學|Douliu, Yunlin County||
Tunghai University|THU|東海大學|Xitun District, Taichung||
Tungnan University|TNU|東南科技大學|Shenkeng District, New Taipei||
Tzu Chi University|TCU|慈濟大學|Hualien City, Hualien County|慈濟|
University of Kang Ning|UKN|康寧大學|Annan District, Tainan||
Vanung University|VNU|萬能科技大學|Zhongli District, Taoyuan City||
WuFeng University|WFU|吳鳳科技大學|Minxiong Township, Chiayi County||
Yuanpei University of Medical Technology|YUMT|元培醫事科技大學|Xiangshan District, Hsinchu||
Yuan Ze University|YZU|元智大學|Zhongli District, Taoyuan City|元智|
Central Taiwan University of Science and Technology|CTUST|中臺科技大學|Beitun District, Taichung||
Chang Gung University of Science and Technology|CGUST|長庚科技大學|Guishan District, Taoyuan City||
Chaoyang University of Technology|CYUT|朝陽科技大學|Wufeng District, Taichung||
Chia Nan University of Pharmacy and Science|CHNA|嘉南藥理科技大學|Rende District, Tainan||
Chien Hsin University of Science and Technology|UCH|健行科技大學|Zhongli District, Taoyuan City||
Chienkuo Technology University|CTU_|建國科技大學|Changhua City, Changhua County||
Chihlee University of Technology|CLUT|致理科技大學|Banqiao District, New Taipei||
China University of Science and Technology|CUST|中華科技大學|Nangang District, Taipei||
China University of Technology|CUTE|中國科技大學|Wenshan District, Taipei||
Chung Chou University of Science and Technology|CCUT|中州科技大學|Yuanlin City, Changhua County||
Chung Hwa University of Medical Technology|HWAI|中華醫事科技大學|Rende District, Tainan||
Chungyu University of Film and Arts|CIT_|崇右影藝科技大學|Xinyi District, Keelung||
Hsiuping University of Science and Technology|HUST|修平科技大學|Dali District, Taichung||
HungKuo Delin University of Technology|HDUT|宏國德霖科技大學|Tucheng District, New Taipei||
Hwa Hsia University of Technology|HWH|華夏科技大學|Zhonghe District, New Taipei||
Jinwen University of Science and Technology|JUST|景文科技大學|Xindian District, New Taipei||
Lunghwa University of Science and Technology|LHU|龍華科技大學|Guishan District, Taoyuan City|龍華科大|
Ming Chi University of Technology|MCUT|明志科技大學|Taishan District, New Taipei||
Minghsin University of Science and Technology|MUST|明新科技大學|Xinfeng Township, Hsinchu County||
Nan Jeon University of Science and Technology|NJTC|南榮科技大學|Yanshuei District, Tainan||
Nan Kai University of Technology|NKUT|南開科技大學|Caotun Township, Nantou County||
Southern Taiwan University of Science and Technology|STUST|南臺科技大學|Yongkang District, Tainan||
Ta Hwa University of Science and Technology|TUST|大華科技大學|Qionglin Township, Hsinchu County||
Tainan University of Technology|TUT_|臺南應用科技大學|Yongkang District, Tainan||
Taipei City University of Science and Technology|TPCU|臺北城市科技大學|Beitou District, Taipei||
Taipei University of Marine Technology|TUMT|台北海洋科技大學|Shilin District, Taipei||
Taiwan Hospitality and Tourism University|THTU|臺灣觀光學院|Shoufeng Township, Hualien County||
